Timestamp,InitiatedAction,ActionData
24:25.2,started session,9
25:12.5,Destroyed, Cube (1) at (0.0004906667 3.039034 10.19637)
25:16.5,Destroyed, Cube (2) at (-8.135218 3.034137 10.17159)
25:16.5,Hit, with pistol at (-8.049919 3.049221 10.20359) using aim style 1
25:20.0,Destroyed, Cube (3) at (8.112431 3.0282 10.14144)
25:20.0,Hit, with pistol at (8.152929 3.016049 10.07935) using aim style 1
25:23.7,Missed target,
25:24.2,Destroyed, linear motion at (-2.581032 4.340561 30.00535)
25:24.2,Hit, with pistol at (-2.851751 4.239874 29.96854) using aim style 1
25:26.3,Destroyed, linear motion at (0.0005425513 2.910499 20.50519)
25:26.3,Hit, with pistol at (0.2692473 2.525673 20.51553) using aim style 1
25:28.5,Missed target,
25:28.9,Destroyed, linear motion at (-1.939523 4.242263 9.705177)
25:28.9,Hit, with pistol at (-1.934822 4.007993 9.756946) using aim style 1
25:31.1,Missed target,
25:31.5,Destroyed, cricular motion at (-0.1956786 1.011191 20.15261)
25:31.5,Hit, with pistol at (0.07362752 1.132896 20.12965) using aim style 1
25:34.0,Missed target,
25:34.7,Missed target,
25:36.0,Destroyed, linear motion at (0.0005227328 7.1297 30.41221)
25:36.0,Hit, with pistol at (0.06696705 7.571318 30.29782) using aim style 1
25:38.4,Missed target,
25:38.9,Destroyed, linear motion at (-5.031842 4.221409 19.28714)
25:38.9,Hit, with pistol at (-4.872428 4.237972 19.29926) using aim style 1
25:41.8,Destroyed, linear motion at (0.0036515 5.021018 11.18207)
25:41.8,Hit, with pistol at (0.3455719 4.881843 11.20403) using aim style 1
25:44.0,Missed target,
25:44.5,Destroyed, cricular motion at (1.144389 1.546564 30.05703)
25:44.5,Hit, with pistol at (1.617926 1.667305 30.01134) using aim style 1
25:46.7,Destroyed, cricular motion at (-0.7545783 1.182083 10.71018)
25:46.7,Hit, with pistol at (-0.6588235 1.387466 10.68816) using aim style 1
25:54.4,Destroyed, Cube (1) at (-0.0002957448 3.039137 10.19693)
25:54.4,Hit, with rifle at (-0.04905111 3.186784 10.14203) using aim style 1
25:57.6,Destroyed, Cube (2) at (-8.107085 3.02691 10.13567)
25:57.6,Hit, with rifle at (-8.100343 3.035864 10.10698) using aim style 1
26:00.9,Destroyed, Cube (3) at (8.101905 3.025689 10.13015)
26:00.9,Hit, with rifle at (8.292299 3.332005 9.888481) using aim style 1
26:03.9,Destroyed, cricular motion at (-1.134403 1.510098 20.30132)
26:03.9,Hit, with rifle at (-0.752317 1.760941 20.29141) using aim style 1
26:07.4,Destroyed, linear motion at (0.7545624 4.356251 20.09791)
26:07.4,Hit, with rifle at (0.8300313 4.281506 20.08214) using aim style 1
26:10.2,Destroyed, cricular motion at (-0.4480024 1.060361 10.68864)
26:10.2,Hit, with rifle at (-0.5011812 0.79005 10.66306) using aim style 1
26:12.9,Destroyed, linear motion at (5.114687 4.029492 9.059507)
26:12.9,Hit, with rifle at (5.108084 4.248853 8.960992) using aim style 1
26:15.4,Destroyed, linear motion at (9.489061E-05 5.021686 20.14001)
26:15.4,Hit, with rifle at (-0.02237124 4.682364 20.18199) using aim style 1
26:18.1,Destroyed, linear motion at (-5.554566 4.271596 29.38525)
26:18.1,Hit, with rifle at (-5.37923 4.065858 29.41544) using aim style 1
26:21.2,Missed target,
26:21.9,Missed target,
26:22.3,Destroyed, linear motion at (9.059907E-06 5.761912 30.60839)
26:22.3,Hit, with rifle at (-0.02544849 5.887433 30.56361) using aim style 1
26:24.7,Missed target,
26:25.2,Missed target,
26:25.9,Destroyed, linear motion at (0.0001168847 4.876149 10.47092)
26:25.9,Hit, with rifle at (-0.07157975 4.788948 10.47621) using aim style 1
26:28.6,Destroyed, cricular motion at (-0.3445 1.034813 30.21466)
26:28.6,Hit, with rifle at (-0.3497277 0.960335 30.1897) using aim style 1
28:35.0,Destroyed, Cube (1) at (6.817241E-05 3.041696 10.20904)
28:35.0,Hit, with pistol at (0.04581099 3.027833 10.1863) using aim style 2
28:38.6,Destroyed, Cube (2) at (-8.121347 3.030528 10.15346)
28:38.6,Hit, with pistol at (-8.071286 2.948522 10.1771) using aim style 2
28:41.9,Destroyed, Cube (3) at (8.112054 3.028162 10.14152)
28:41.9,Hit, with pistol at (8.311147 3.177297 9.92192) using aim style 2
28:45.0,Destroyed, linear motion at (0.0005898476 6.352071 10.60748)
28:47.6,Missed target,
28:48.2,Missed target,
28:48.6,Missed target,
28:49.5,Missed target,
28:50.1,Missed target,
28:50.7,Missed target,
28:51.4,Missed target,
28:52.4,Destroyed, linear motion at (0.0002828837 5.822881 30.63936)
28:52.4,Hit, with pistol at (0.171296 6.053769 30.5777) using aim style 2
28:54.9,Missed target,
28:55.9,Destroyed, cricular motion at (0.4532635 3.91729 19.92132)
28:55.9,Hit, with pistol at (0.7722996 3.55244 19.9419) using aim style 2
28:58.6,Destroyed, linear motion at (1.97576 4.350661 20.06422)
28:58.6,Hit, with pistol at (2.100593 4.244636 20.0441) using aim style 2
29:00.8,Destroyed, cricular motion at (-1.378796 1.783986 10.62602)
29:00.8,Hit, with pistol at (-1.245859 2.078747 10.59616) using aim style 2
29:03.3,Destroyed, linear motion at (-4.696847E-05 5.346832 19.81907)
29:03.3,Hit, with pistol at (0.1907789 5.469413 19.76666) using aim style 2
29:05.6,Destroyed, linear motion at (1.020557 4.279094 9.816567)
29:05.6,Hit, with pistol at (0.9114144 4.191002 9.830633) using aim style 2
29:08.6,Missed target,
29:09.1,Destroyed, cricular motion at (-1.243219 3.346083 29.9689)
29:09.1,Hit, with pistol at (-0.8955717 3.449119 29.94999) using aim style 2
29:11.7,Destroyed, linear motion at (4.237947 4.316818 29.79159)
29:11.7,Hit, with pistol at (4.714849 4.244075 29.70665) using aim style 2
29:20.1,Destroyed, Cube (1) at (-0.0004749371 3.037851 10.19058)
29:20.1,Hit, with rifle at (-0.005220686 3.166649 10.1395) using aim style 2
29:23.4,Destroyed, Cube (2) at (-8.111113 3.027995 10.14056)
29:23.4,Hit, with rifle at (-8.055751 2.932513 10.17109) using aim style 2
29:27.1,Destroyed, Cube (3) at (8.118311 3.029815 10.15086)
29:27.1,Hit, with rifle at (8.041304 2.995989 10.18579) using aim style 2
29:30.5,Destroyed, linear motion at (3.997081 4.300162 29.64141)
29:30.5,Hit, with rifle at (4.441978 4.340548 29.55227) using aim style 2
29:33.1,Destroyed, cricular motion at (-0.6768616 3.939023 10.25767)
29:33.1,Hit, with rifle at (-0.3647218 4.241154 10.16623) using aim style 2
29:35.4,Destroyed, linear motion at (7.390977E-06 4.59126 20.23483)
29:35.4,Hit, with rifle at (0.2246339 4.818723 20.16923) using aim style 2
29:37.4,Missed target,
29:38.0,Missed target,
29:38.7,Missed target,
29:39.3,Destroyed, cricular motion at (-0.7341073 1.187874 20.32991)
29:39.3,Hit, with rifle at (-0.6054323 1.522868 20.30642) using aim style 2
29:42.3,Missed target,
29:42.9,Missed target,
29:43.3,Destroyed, linear motion at (-3.218651E-06 5.667489 10.14119)
29:43.3,Hit, with rifle at (0.007875168 5.877707 10.01833) using aim style 2
29:45.8,Destroyed, linear motion at (-0.0002147258 5.820074 30.6228)
29:45.8,Hit, with rifle at (-0.31761 5.943229 30.57804) using aim style 2
29:48.3,Destroyed, cricular motion at (-1.141532 3.489376 30.0969)
29:48.3,Hit, with rifle at (-0.8263966 3.427961 30.08879) using aim style 2
29:51.3,Destroyed, linear motion at (-0.1984558 4.32178 19.89071)
29:51.3,Hit, with rifle at (-0.4716273 4.192083 19.88406) using aim style 2
29:54.0,Missed target,
29:54.9,Destroyed, linear motion at (-3.991691 4.041783 9.099623)
29:54.9,Hit, with rifle at (-4.13966 3.876271 9.062084) using aim style 2
31:19.4,Destroyed, Cube (1) at (-0.0003893763 3.032037 10.16243)
31:19.4,Hit, with rifle at (-0.4996676 3.257228 10.09133) using aim style 0
31:22.4,Missed target,
31:23.3,Destroyed, Cube (2) at (-8.098315 3.02457 10.12431)
31:23.3,Hit, with rifle at (-8.402913 3.386031 9.779696) using aim style 0
31:26.2,Missed target,
31:26.8,Missed target,
31:28.8,Missed target,
31:29.4,Destroyed, Cube (3) at (8.103013 3.025882 10.1312)
31:29.4,Hit, with rifle at (7.835061 2.990838 10.31633) using aim style 0
31:32.8,Missed target,
31:33.2,Missed target,
31:33.8,Missed target,
31:34.2,Missed target,
31:34.6,Destroyed, cricular motion at (1.108725 1.498159 30.00549)
31:34.6,Hit, with rifle at (1.127473 1.174164 29.98512) using aim style 0
