Timestamp,InitiatedAction,ActionData
57:25.7,started session,5
58:53.7,Destroyed, Cube (1) at (-0.0001477327 3.035264 10.19083)
58:53.7,Hit, with pistol at (-0.007876862 3.016044 10.16895) using aim style 2
58:56.9,Destroyed, Cube (2) at (-8.109228 3.025552 10.13829)
58:56.9,Hit, with pistol at (-8.050267 2.949993 10.16663) using aim style 2
59:00.2,Destroyed, Cube (3) at (8.105369 3.02463 10.13339)
59:00.2,Hit, with pistol at (8.06443 2.979364 10.1419) using aim style 2
59:02.8,Destroyed, linear motion at (0.1867499 4.348525 30.08021)
59:05.4,Destroyed, cricular motion at (1.446895 2.134786 30.14914)
59:05.4,Hit, with pistol at (1.51585 2.458271 30.11008) using aim style 2
59:08.1,Destroyed, linear motion at (8.702279E-06 3.670204 20.10149)
59:08.1,Hit, with pistol at (0.05204211 3.595461 20.08567) using aim style 2
59:10.3,Missed target,
59:11.4,Destroyed, linear motion at (2.920628E-05 6.799869 30.45488)
59:11.4,Hit, with pistol at (0.1317009 6.945397 30.40246) using aim style 2
59:13.4,Destroyed, linear motion at (-0.2375326 4.361545 20.13529)
59:13.4,Hit, with pistol at (-0.1752483 4.323965 20.1167) using aim style 2
59:15.7,Destroyed, linear motion at (6.281697 3.842822 8.433161)
59:15.7,Hit, with pistol at (6.304168 3.597675 8.462422) using aim style 2
59:18.0,Destroyed, cricular motion at (-1.480688 2.840621 19.9761)
59:18.0,Hit, with pistol at (-1.422693 3.286274 19.91739) using aim style 2
59:20.1,Missed target,
59:21.0,Missed target,
59:22.0,Destroyed, linear motion at (7.534028E-05 6.505806 10.57762)
59:22.0,Hit, with pistol at (-0.1812336 6.576788 10.51403) using aim style 2
59:24.1,Destroyed, cricular motion at (-1.411688 1.909451 10.57994)
59:24.1,Hit, with pistol at (-1.508145 1.747933 10.55372) using aim style 2
59:36.3,Destroyed, Cube (1) at (-0.001252274 3.035033 10.18806)
59:36.3,Hit, with rifle at (0.08356468 3.134019 10.14476) using aim style 2
59:39.1,Destroyed, Cube (2) at (-8.099728 3.023367 10.12529)
59:39.1,Hit, with rifle at (-8.21144 2.948209 10.01809) using aim style 2
59:42.4,Destroyed, Cube (3) at (8.115915 3.027206 10.14702)
59:42.4,Hit, with rifle at (8.054546 3.239511 10.12395) using aim style 2
59:45.1,Destroyed, linear motion at (0.0004246235 5.504076 19.78543)
59:45.1,Hit, with rifle at (-0.09532383 5.159405 19.83566) using aim style 2
59:48.8,Missed target,
59:49.3,Destroyed, linear motion at (-0.00160873 5.000936 10.48536)
59:49.3,Hit, with rifle at (-0.1002765 5.081819 10.42883) using aim style 2
59:51.6,Missed target,
59:52.8,Destroyed, linear motion at (-0.000141263 6.795671 30.13959)
59:52.8,Hit, with rifle at (0.07024527 7.142566 30.04904) using aim style 2
59:55.1,Destroyed, cricular motion at (0.4035605 3.982331 9.860452)
59:55.1,Hit, with rifle at (0.3101366 3.913378 9.857731) using aim style 2
59:57.4,Destroyed, linear motion at (0.5122404 4.322309 19.88962)
59:57.4,Hit, with rifle at (0.705677 4.213844 19.87692) using aim style 2
59:59.9,Destroyed, cricular motion at (-1.062315 3.606238 29.92217)
00:02.3,Destroyed, cricular motion at (-1.480417 2.328082 20.01562)
00:02.3,Hit, with rifle at (-1.60695 2.47012 19.97262) using aim style 2
00:04.6,Destroyed, linear motion at (0.7056265 4.290884 9.845879)
00:04.6,Hit, with rifle at (0.656272 4.160046 9.864649) using aim style 2
00:07.3,Missed target,
00:07.8,Missed target,
00:08.3,Destroyed, linear motion at (-2.613132 4.335858 29.96159)
00:08.3,Hit, with rifle at (-2.937935 4.1464 29.92817) using aim style 2
02:45.5,Destroyed, Cube (1) at (7.292303E-06 3.034116 10.18582)
02:45.5,Hit, with pistol at (0.003483664 3.025317 10.16202) using aim style 1
02:48.7,Destroyed, Cube (2) at (-8.1061 3.024671 10.13432)
02:48.7,Hit, with pistol at (-8.043553 2.962853 10.16289) using aim style 1
02:51.8,Destroyed, Cube (3) at (8.099153 3.023056 10.12547)
02:54.4,Missed target,
02:55.3,Destroyed, cricular motion at (1.482694 2.335592 30.12687)
02:55.3,Hit, with pistol at (1.368615 2.204057 30.11267) using aim style 1
02:57.7,Destroyed, linear motion at (-3.71933E-05 10.01081 29.66518)
02:57.7,Hit, with pistol at (0.01959629 10.34336 29.54013) using aim style 1
03:00.0,Destroyed, linear motion at (5.592558 4.273136 29.36959)
03:00.0,Hit, with pistol at (5.375611 4.368493 29.37511) using aim style 1
03:02.3,Destroyed, linear motion at (4.246925 4.023666 8.996596)
03:02.3,Hit, with pistol at (4.007597 4.184056 9.028746) using aim style 1
03:05.0,Missed target,
03:05.5,Missed target,
03:06.2,Destroyed, linear motion at (0.0002250672 5.653616 10.94675)
03:06.2,Hit, with pistol at (-0.02829803 5.78469 10.86646) using aim style 1
03:08.3,Destroyed, linear motion at (-5.88894E-05 4.748498 19.90982)
03:08.3,Hit, with pistol at (0.1571041 4.615593 19.90817) using aim style 1
